prompt,completion,opposite_sent
greed is an antonym of <extra_id_0>,"['desire', 'gluttony', 'greed', 'avarice', 'greeds']",greed is a synonym of <extra_id_0>
chaperone is an antonym of <extra_id_0>,"['chaperon', 'chaperone', 'chaperones']",chaperone is a synonym of <extra_id_0>
sooner is an antonym of <extra_id_0>,"['preferably', 'sooner', 'sooners', 'okie', 'Oklahoman']",sooner is a synonym of <extra_id_0>
demand is an antonym of <extra_id_0>,"['necessitate', 'demands', 'request', 'requirement', 'activity', 'imposition', 'need', 'demand']",demand is a synonym of <extra_id_0>
demand is a synonym of <extra_id_0>,"['request', 'ask', 'supply', 'nicely', 'politely']",demand is an antonym of <extra_id_0>
sailing is an antonym of <extra_id_0>,"['glide', 'seafaring', 'departure', 'sailings', 'sailing', 'boating']",sailing is a synonym of <extra_id_0>
statute is an antonym of <extra_id_0>,"['statute', 'statutes', 'codified']",statute is a synonym of <extra_id_0>
district is an antonym of <extra_id_0>,"['state', 'zone', 'film', 'district', 'districts', 'region']",district is a synonym of <extra_id_0>
pagoda is an antonym of <extra_id_0>,"['pagoda', 'temple', 'pagodas', 'tower']",pagoda is a synonym of <extra_id_0>
collar is an antonym of <extra_id_0>,"['restraint', 'collars', 'choker', 'hoop', 'collar', 'neckpiece', 'apprehension', 'band']",collar is a synonym of <extra_id_0>
collar is a synonym of <extra_id_0>,"['cuffs', 'hem']",collar is an antonym of <extra_id_0>
ham is an antonym of <extra_id_0>,"['artifact', 'person', 'actor', 'hambone', 'hams', 'pork', 'overact', 'ham']",ham is a synonym of <extra_id_0>
bullet is an antonym of <extra_id_0>,"['projectile', 'part', 'fastball', 'cap', 'bullets', 'bullet']",bullet is a synonym of <extra_id_0>
bullet is a synonym of <extra_id_0>,"['arrow', 'gun', 'shot', 'blanks']",bullet is an antonym of <extra_id_0>
lead is an antonym of <extra_id_0>,"['lead', 'strip', 'section', 'score', 'leadership', 'position', 'head', 'go', 'leads', 'foremost', 'leading', 'first', 'advantage', 'contribute', 'tip', 'moderate', 'precede', 'evidence', 'run', 'angle', 'mineral', 'star', 'leash', 'graphite', 'turn', 'leave']",lead is a synonym of <extra_id_0>
lead is a synonym of <extra_id_0>,"['pencil', 'follow']",lead is an antonym of <extra_id_0>
boy is an antonym of <extra_id_0>,"['chap', 'boys', 'brat', 'man', 'boy', 'lad', 'manservant', 'child', 'single', 'band', 'son']",boy is a synonym of <extra_id_0>
boy is a synonym of <extra_id_0>,"['sister', 'girl']",boy is an antonym of <extra_id_0>
boxing is an antonym of <extra_id_0>,"['packing', 'wrapping', 'fisticuffs', 'boxing', 'boxings']",boxing is a synonym of <extra_id_0>
boxing is a synonym of <extra_id_0>,['unboxing'],boxing is an antonym of <extra_id_0>
backhand is an antonym of <extra_id_0>,"['backhands', 'left-slanting', 'backhand', 'return']",backhand is a synonym of <extra_id_0>
